iter	RMSE
0	14.34239625
1	12.86888242
2	11.55985123
3	10.37194578
4	9.320162677
5	8.416422072
6	7.590997714
7	6.848746961
8	6.168407213
9	5.536274476
10	4.981909338
11	4.477685627
12	4.033205178
13	3.630094121
14	3.277959878
15	2.966647198
16	2.691054738
17	2.446409607
18	2.225825265
19	2.032282676
20	1.858433172
21	1.704984536
22	1.568713068
23	1.451810191
24	1.346662757
25	1.248583092
26	1.169246999
27	1.09663293
28	1.037195114
29	0.9814758711
30	0.9307422589
31	0.8941200478
32	0.8597163633
33	0.8277198801
34	0.801181343
35	0.7800430636
36	0.7629893721
37	0.7482555718
38	0.7349791979
39	0.7225496487
40	0.7127261648
41	0.7033975239
42	0.6928302534
43	0.6837124822
44	0.6733960808
45	0.665590196
46	0.6573894945
47	0.6520585665
48	0.6474675076
49	0.6432267395
50	0.6381779718
51	0.6346431654
52	0.630819405
53	0.6277381636
54	0.6224958116
55	0.6184225378
56	0.6146384248
57	0.6085643249
58	0.6056088199
59	0.602203819
60	0.5969287411
61	0.5944973561
62	0.5925340478
63	0.5907338352
64	0.5884515707
65	0.5868964461
66	0.5828349027
67	0.5798771688
68	0.5781633165
69	0.5769017414
70	0.5759459
71	0.5739665553
72	0.5712781302
73	0.5696758359
74	0.5664122274
75	0.5641235085
76	0.5616915102
77	0.5603946593
78	0.5577706728
79	0.5547031185
80	0.5503373623
81	0.5484654901
82	0.5456361426
83	0.5434580163
84	0.542225364
85	0.5382188886
86	0.5373328202
87	0.535708878
88	0.5317586345
89	0.5293739946
90	0.5271668412
91	0.5262737577
92	0.5206417054
93	0.5189139099
94	0.5141635888
95	0.513527
96	0.5105098182
97	0.5082675177
98	0.5049243162
99	0.5018438736
100	0.498110072
101	0.4963531701
102	0.4950588048
103	0.4926298585
104	0.4914599378
105	0.489462889
106	0.4890259713
107	0.4875090961
108	0.4869878313
109	0.4816136779
110	0.4779189985
111	0.4772746944
112	0.4745088171
113	0.4738150746
114	0.4729203969
115	0.4719568169
116	0.4698317847
117	0.4678628652
118	0.465936645
119	0.4625962478
120	0.4605520127
121	0.456314549
122	0.4525832153
123	0.451271317
124	0.4490988131
125	0.4480730942
126	0.446947804
127	0.4464165358
128	0.4435516109
129	0.4416051723
130	0.4390839941
131	0.4365407904
132	0.4353354024
133	0.433703139
134	0.4329022399
135	0.4305653303
136	0.430166781
137	0.4278090438
138	0.4264884544
139	0.4250922204
140	0.4220008452
141	0.4214846997
142	0.4204683607
143	0.4198504733
144	0.419121497
145	0.4174393865
146	0.4157794176
147	0.4154490895
148	0.4150832282
149	0.4144563234
150	0.4126422082
151	0.4106149233
152	0.4095480912
153	0.4072884274
154	0.4055698116
155	0.4044239293
156	0.4041109639
157	0.4032597149
158	0.4004372633
159	0.3989822542
160	0.3983612888
161	0.3979254129
162	0.3967247977
163	0.3962380973
164	0.3940121144
165	0.3926268013
166	0.3923606462
167	0.3920179946
168	0.3911244124
169	0.3901642858
170	0.3899190873
171	0.3874926563
172	0.3867209287
173	0.3857213034
174	0.384808655
175	0.3844899164
176	0.3834143789
177	0.3826666321
178	0.3807556953
179	0.3793229815
180	0.3777052238
181	0.3766432046
182	0.376208469
183	0.3752779524
184	0.3743526944
185	0.3733621952
186	0.3718579479
187	0.3714769435
188	0.3712919636
189	0.3702724063
190	0.3701002122
191	0.3697784467
192	0.3687548453
193	0.367335579
194	0.3665252445
195	0.3651186039
196	0.3645452937
197	0.3638441587
198	0.363638606
199	0.3629794687
200	0.3627268461
201	0.3612328459
202	0.3610785561
203	0.3601183702
204	0.3593845519
205	0.3582837062
206	0.3571474134
207	0.3563146131
208	0.3557082417
209	0.3543612481
210	0.3533363725
211	0.3527640926
212	0.352542691
213	0.352087437
214	0.3497120467
215	0.349230127
216	0.347125736
217	0.3468928748
218	0.3460240692
219	0.3457879081
220	0.3441289668
221	0.3436174617
222	0.3432682466
223	0.3425838544
224	0.3396297332
225	0.3381150741
226	0.3374737801
227	0.3363336639
228	0.3356594197
229	0.3353384826
230	0.3349718122
231	0.3347974452
232	0.3345328595
233	0.3341148239
234	0.3339089736
235	0.3324908443
236	0.3302332
237	0.3296608727
238	0.3289806744
239	0.3287726519
240	0.3282785443
241	0.3269025842
242	0.3258166068
243	0.3237255826
244	0.3234085801
245	0.3225036957
246	0.3221794468
247	0.321176043
248	0.3206038346
249	0.3198865308
250	0.3193774441
251	0.3192715407
252	0.3175348066
253	0.3167171181
254	0.3149288064
255	0.3146708307
256	0.3135579695
257	0.3130010196
258	0.3124909533
259	0.3108299523
260	0.3098535624
261	0.3096671648
262	0.3087180527
263	0.3072223381
264	0.3064436268
265	0.3057020481
266	0.3048479129
267	0.3031188113
268	0.3025472476
269	0.3021399795
270	0.3011579119
271	0.3000420076
272	0.2995941511
273	0.2987618553
274	0.2986034223
275	0.2977485041
276	0.2976001768
277	0.2966030995
278	0.2959147917
279	0.2958263817
280	0.2956353313
281	0.2954312654
282	0.294491033
283	0.2940840534
284	0.2933716621
285	0.2925378042
286	0.2923164423
287	0.2914701371
288	0.2912288631
289	0.2903966045
290	0.2902238403
291	0.2891529853
292	0.2879140465
293	0.287758918
294	0.287279435
295	0.2870791963
296	0.2860476055
297	0.2858294418
298	0.2850038148
299	0.2848290872
300	0.2845037191
301	0.2830635453
302	0.2829934947
