iter	Passed	Remaining
0	130	74500
1	253	72365
2	380	72342
3	506	72201
4	655	74636
5	780	73913
6	901	72985
7	1029	72841
8	1167	73264
9	1293	72962
10	1417	72542
11	1556	72899
12	1697	73259
13	1820	72820
14	1953	72797
15	2083	72653
16	2205	72258
17	2339	72253
18	2471	72203
19	2610	72316
20	2733	71986
21	2847	71450
22	2979	71380
23	3114	71369
24	3245	71269
25	3380	71246
26	3526	71442
27	3660	71370
28	3797	71363
29	3929	71246
30	4062	71163
31	4216	71412
32	4340	71150
33	4474	71059
34	4595	70774
35	4731	70707
36	4855	70470
37	4982	70275
38	5110	70098
39	5242	69981
40	5358	69659
41	5477	69376
42	5611	69289
43	5730	69024
44	5859	68878
45	5983	68675
46	6115	68567
47	6257	68574
48	6383	68394
49	6509	68224
50	6648	68180
51	6773	67997
52	6906	67890
53	7028	67677
54	7141	67387
55	7246	67033
56	7373	66879
57	7488	66620
58	7608	66414
59	7713	66077
60	7823	65796
61	7935	65534
62	8047	65270
63	8156	64997
64	8262	64698
65	8369	64421
66	8480	64173
67	8596	63966
68	8697	63654
69	8800	63364
70	8911	63135
71	9019	62883
72	9125	62628
73	9231	62376
74	9342	62159
75	9450	61927
76	9560	61709
77	9661	61437
78	9760	61154
79	9868	60939
80	9984	60767
81	10097	60583
82	10203	60362
83	10317	60186
84	10420	59949
85	10529	59746
86	10643	59578
87	10743	59331
88	10846	59107
89	10951	58895
90	11057	58688
91	11163	58487
92	11266	58271
93	11369	58058
94	11475	57859
95	11586	57692
96	11689	57484
97	11793	57283
98	11906	57129
99	12025	56998
100	12144	56872
101	12249	56684
102	12349	56474
103	12452	56274
104	12575	56169
105	12719	56157
106	12883	56229
