iter	RMSE
0	37271.73216
1	35939.21843
2	34649.61067
3	33449.86485
4	32362.62167
5	31293.10836
6	30244.09546
7	29250.78134
8	28275.58312
9	27363.28992
10	26568.08137
11	25750.62116
12	24985.43213
13	24248.31342
14	23506.70556
15	22890.5887
16	22273.12236
17	21646.86738
18	21028.49125
19	20438.28158
20	19933.56506
21	19457.92306
22	18983.72304
23	18494.76636
24	18052.09319
25	17611.43439
26	17246.75575
27	16871.13219
28	16494.45538
29	16125.44304
30	15843.44393
31	15536.2398
32	15253.63021
33	14978.59941
34	14715.85541
35	14447.87789
36	14203.67273
37	13995.52481
38	13781.63423
39	13587.63948
40	13405.4442
41	13202.85365
42	12970.00976
43	12790.68655
44	12610.29023
45	12456.44381
46	12303.32238
47	12164.5501
48	12012.41203
49	11867.19206
50	11750.20831
51	11651.27228
52	11556.42009
53	11432.66321
54	11313.39463
55	11213.95286
56	11088.54955
57	10981.13711
58	10884.98204
59	10797.57788
60	10736.52164
61	10623.6113
62	10537.58905
63	10441.01024
64	10352.24022
65	10269.54317
66	10201.68438
67	10126.49251
68	10060.91566
69	9998.368176
70	9945.58966
71	9878.654553
72	9814.415184
73	9764.710114
74	9711.799733
75	9629.567189
76	9574.548726
77	9524.66554
78	9452.306188
79	9389.335594
80	9331.868567
81	9274.221909
82	9240.216768
83	9180.677133
84	9130.998207
85	9078.950557
86	9035.42819
87	8991.059037
88	8936.87064
89	8904.030802
90	8853.585117
91	8807.991308
92	8765.337503
93	8729.278556
94	8704.575645
95	8680.372948
96	8643.360729
97	8607.900878
98	8574.798823
99	8550.341353
100	8521.06566
101	8483.937069
102	8448.180759
103	8411.128117
104	8376.686114
105	8355.791457
106	8322.859029
107	8302.500833
108	8274.797185
109	8246.151254
110	8220.579644
111	8200.261705
112	8173.786147
113	8141.029841
114	8117.493544
115	8092.37402
116	8067.109346
117	8046.787964
118	8024.519247
119	7987.419668
120	7966.89734
121	7949.175766
122	7926.275686
123	7910.143475
124	7889.574527
125	7867.851395
126	7852.171604
127	7831.201342
128	7802.063704
129	7776.106127
130	7757.477284
131	7740.676763
132	7724.906864
133	7696.577411
134	7674.623971
135	7655.402347
136	7633.281275
137	7616.262296
138	7598.540485
139	7586.213888
140	7564.477779
141	7547.02213
142	7535.127087
143	7513.138945
144	7499.755359
145	7487.133654
146	7471.996007
147	7456.113643
148	7437.260807
149	7418.926573
150	7399.760607
151	7382.081474
152	7365.831418
153	7356.226888
154	7341.644986
155	7330.816713
156	7320.455758
157	7312.401217
158	7286.285098
159	7275.692215
160	7262.755239
161	7245.284483
162	7236.324048
163	7221.638255
164	7212.204664
165	7189.682778
166	7171.779875
167	7146.880202
168	7135.030239
169	7114.176898
170	7099.43622
171	7086.783125
172	7068.322143
173	7054.337135
174	7041.60654
175	7034.168282
176	7020.269249
177	7010.292749
178	6996.570435
179	6977.130043
180	6969.840378
181	6955.863837
182	6941.760695
183	6924.026634
184	6906.591074
185	6892.934493
186	6880.863503
187	6869.142473
188	6854.5543
189	6836.419275
190	6826.796654
191	6817.633897
192	6805.0719
193	6794.738967
194	6781.173
195	6771.83999
196	6753.906256
197	6741.2721
198	6734.401461
199	6728.0176
200	6709.264477
201	6700.18536
202	6679.85155
203	6670.350983
204	6658.399235
205	6643.365941
206	6635.319299
207	6624.817056
208	6609.412391
209	6597.789439
210	6592.591738
211	6580.408117
212	6573.719353
213	6558.187111
214	6547.247102
215	6541.742381
216	6522.366135
217	6513.154334
218	6498.230872
219	6493.111588
220	6482.900895
221	6473.549819
222	6457.415132
223	6442.4551
224	6426.173344
225	6417.393312
226	6413.002166
227	6405.201864
228	6391.342122
229	6382.868559
230	6367.873631
231	6356.00368
232	6338.921724
233	6320.314703
234	6302.754423
235	6298.224216
236	6289.396891
237	6273.005103
238	6263.266895
239	6258.817512
240	6243.168931
241	6234.198826
242	6228.90385
243	6221.080603
244	6213.490139
245	6200.290971
246	6185.335271
247	6179.830198
248	6169.779181
249	6160.296651
250	6152.170624
251	6146.813696
252	6139.608954
253	6134.481713
254	6128.14588
255	6123.511622
256	6113.912558
257	6105.60577
258	6101.74259
259	6091.176633
260	6087.514254
261	6081.985413
262	6075.271116
263	6070.56162
264	6061.303107
265	6056.600365
266	6048.667217
267	6045.196738
268	6037.20515
269	6027.724023
270	6024.443859
271	6018.536007
272	6015.34025
273	6006.47095
274	5996.479131
275	5993.400636
276	5981.860171
277	5969.688282
278	5955.095795
279	5946.10345
280	5941.76033
281	5938.754887
282	5930.395884
283	5920.957197
284	5912.339246
285	5903.573289
286	5892.497854
287	5887.409414
288	5879.296212
289	5875.810484
290	5868.897629
291	5857.309284
292	5845.46255
293	5835.778613
294	5826.312466
295	5823.082872
296	5816.276925
297	5805.443957
298	5797.083554
299	5788.057246
300	5780.130016
301	5772.042519
302	5765.645782
303	5759.997828
304	5756.507792
305	5749.322535
306	5741.117679
307	5732.677172
308	5728.900745
309	5720.83508
310	5712.619723
311	5708.778151
312	5701.216193
313	5686.162197
314	5682.872657
315	5675.558757
316	5671.939007
317	5669.889163
318	5658.150244
319	5648.185358
320	5640.761288
321	5631.957359
322	5622.892893
323	5613.591181
324	5608.679354
325	5601.262543
326	5597.885024
327	5594.722438
328	5587.863436
329	5581.550845
330	5575.728972
331	5571.091783
332	5566.731328
333	5557.151616
334	5551.299893
335	5541.340038
336	5537.92861
337	5531.160415
338	5522.026432
339	5517.3879
340	5509.720271
341	5501.661331
342	5498.641557
343	5493.246729
344	5487.98688
345	5479.494224
346	5464.31902
347	5456.029596
348	5452.329734
349	5450.925399
350	5433.681437
351	5427.276816
352	5420.677027
353	5417.695249
354	5412.64913
355	5407.884485
356	5404.809718
357	5398.977335
358	5393.262128
359	5386.453008
360	5383.586163
361	5381.323491
362	5367.859925
363	5361.945274
364	5358.109405
365	5355.12705
366	5343.811977
367	5333.887557
368	5327.953443
369	5314.122176
370	5311.361364
371	5307.780131
372	5302.728643
373	5295.692038
374	5290.156352
375	5285.743237
376	5283.153022
377	5280.498912
378	5279.352456
379	5273.672298
380	5271.109999
381	5266.602768
382	5260.267392
383	5258.448077
384	5253.044023
385	5247.810015
386	5243.779093
387	5242.293741
388	5225.810852
389	5213.855624
390	5210.044926
391	5207.428655
392	5206.348115
393	5199.324218
394	5197.43295
