iter	Passed	Remaining
0	9	9587
1	19	9594
2	29	9721
3	36	9107
4	46	9285
5	57	9479
6	115	16351
7	193	24054
8	250	27574
9	276	27350
10	294	26522
11	304	25105
12	336	25530
13	348	24565
14	358	23556
15	367	22626
16	377	21828
17	385	21050
18	395	20445
19	405	19851
20	412	19219
21	424	18887
22	432	18387
23	442	18000
24	451	17619
25	460	17265
26	470	16953
27	481	16704
28	491	16451
29	500	16182
30	510	15972
31	521	15783
32	531	15586
33	542	15402
34	552	15242
35	560	15015
36	571	14882
37	579	14663
38	588	14492
39	596	14320
40	606	14188
41	615	14036
42	622	13856
43	630	13694
44	637	13532
45	645	13378
46	653	13243
47	660	13094
48	668	12974
49	675	12836
50	684	12735
51	691	12612
52	700	12518
53	707	12398
54	718	12351
55	726	12254
56	734	12154
57	742	12052
58	749	11955
59	759	11899
60	767	11809
61	777	11758
62	784	11671
63	794	11614
64	801	11528
65	811	11478
66	819	11408
67	830	11388
68	838	11312
69	846	11248
70	853	11173
71	862	11116
72	869	11044
73	878	10992
74	886	10930
75	895	10881
76	902	10817
77	911	10772
78	918	10711
79	930	10695
80	938	10644
81	945	10585
82	953	10535
83	961	10488
84	969	10440
85	977	10384
86	984	10335
87	992	10288
88	1000	10237
89	1008	10197
90	1015	10145
91	1025	10124
92	1033	10080
93	1040	10033
94	1048	9985
95	1056	9946
96	1063	9902
97	1072	9868
98	1079	9823
99	1087	9791
100	1095	9749
101	1104	9722
102	1112	9685
103	1122	9666
104	1129	9627
105	1137	9590
106	1148	9581
107	1156	9552
108	1165	9529
109	1173	9492
110	1182	9470
111	1190	9435
112	1198	9410
113	1206	9377
114	1217	9368
115	1226	9347
116	1273	9613
117	1319	9865
118	1343	9943
119	1403	10295
120	1446	10507
121	1471	10588
122	1513	10791
123	1535	10849
124	1555	10888
125	1601	11108
126	1630	11205
127	1661	11318
128	1686	11385
129	1697	11358
130	1704	11309
131	1713	11266
132	1720	11216
133	1729	11175
134	1736	11128
135	1747	11101
136	1754	11051
137	1764	11019
138	1773	10986
139	1782	10948
140	1793	10927
141	1801	10886
142	1810	10851
143	1818	10808
144	1827	10775
145	1836	10740
146	1843	10697
147	1850	10655
148	1860	10625
149	1869	10591
150	1876	10552
151	1885	10518
152	1895	10491
153	1907	10479
154	1917	10453
155	1924	10412
156	1933	10379
157	1940	10340
158	1949	10309
159	1958	10280
160	1966	10246
161	1973	10210
162	1981	10177
163	1989	10139
164	1997	10106
165	2004	10071
166	2011	10035
167	2020	10005
168	2027	9971
169	2035	9939
170	2042	9904
171	2052	9879
172	2059	9846
173	2069	9824
174	2077	9793
175	2087	9775
176	2097	9751
177	2104	9719
178	2113	9694
179	2121	9662
180	2130	9638
181	2138	9609
182	2147	9585
183	2154	9555
184	2165	9539
185	2172	9507
186	2180	9480
187	2188	9451
188	2196	9426
189	2204	9397
190	2212	9372
191	2220	9343
192	2229	9322
193	2236	9291
194	2245	9268
195	2252	9239
196	2261	9216
197	2267	9185
